 iteration a b error
 0 0.0 0.0 5.789649533496451E8
 1 0.2266756309140021 -0.05022993228746486 2.1101712418724766E8
 2 0.4512789752485844 -0.09992612217534713 7.69625925269785E7
 3 0.6738245016524331 -0.14907932443364302 2.808749456556062E7
 4 0.8943203963972906 -0.19767891307508734 1.0255855842742912E7
 5 1.1126984334313619 -0.24568955387551483 3746180.615526673
 6 1.3287189616118837 -0.2930192179774238 1368567.5304003234
 7 1.5418220194132886 -0.3394688004931794 499877.0447200107
 8 1.7508740566682093 -0.38464624839934203 182461.80456992498
 9 1.9536848276253238 -0.4278024784880827 66510.8674742567
 10 2.1462036525278307 -0.4675584145256124 24189.245288495695
 11 2.3202919014913164 -0.5011451895230437 8768.718214692673
 12 2.464257850860406 -0.5245963752214493 3167.7307426676475
 13 2.5414605294722463 -0.5254097534658726 1144.162373158984
 14 2.231937110516995 -0.3937080698291098 415.94582436358826
 15 2.37797514662536 -0.4196702968314092 161.7260332432498
 16 2.4816721175605005 -0.43218038106788415 76.13045704992334
 17 2.4678176692761054 -0.40688809665808146 48.46176917928514
 18 2.474171475170473 -0.39519598092549013 41.932779748775545
 19 2.430118014322642 -0.36614023006966456 38.859565825151975
 20 2.4293470848667207 -0.3600047727248686 38.80664998979583
 21 2.427460568561768 -0.36067041938552763 38.739956822993996
 22 2.4242192808430074 -0.3594341477374517 38.66630199520251
 23 2.424230472553936 -0.35944601573998514 38.66628619513144
