 temperature exppressure calcpressure error
 263.15 205.90559305981742 203.37959770072044 -0.012267735526558316
 269.5523333333333 348.9985729782573 346.7388654855103 -0.006474833044339634
 275.95466666666664 574.6207440372377 573.4187923585775 -0.0020917303998031237
 282.35699999999997 921.0285325058956 922.0713489836421 0.0011322303717446237
 288.7593333333333 1439.9443135988283 1444.8535131307367 0.003409298182954653
 295.16166666666663 2199.7329196773235 2210.5519194431536 0.0049183242515719195
 301.56399999999996 3288.887382252035 3307.9939600561383 0.005809435101733502
 307.9663333333333 4819.76087987294 4849.683241598749 0.006208266856300607
 314.3686666666666 6932.467785653395 6975.585804162989 0.006219721438709823
 320.77099999999996 9798.866741335012 9856.986212066124 0.0059312441188676904
 327.1733333333333 13626.533416053227 13700.32988941034 0.005415645425282781
 333.5756666666666 18662.630224423894 18750.96985449594 0.004733503745706461
 339.97799999999995 25197.584594653348 25296.741913185986 0.003935191413294351
 346.3803333333333 33568.495893972104 33671.301732456915 0.003062569106746087
 352.7826666666666 44162.203102176405 44257.16917746525 0.002150392612187519
 359.18499999999995 57417.95989364994 57488.4389177501 0.0012274734983740787
 365.5873333333333 73829.68000095856 73853.13065431964 3.176317892855469E-4
 371.9896666666666 93947.73265950778 93895.16653302488 -5.595252274305535E-4
 378.39199999999994 118380.28471774078 118215.97666965712 -0.0013879680089926457
 384.79433333333327 147794.20190430374 147475.74566525317 -0.002154727553228196
 391.1966666666666 182915.5361820969 182394.32316211687 -0.002849473756352495
 397.59899999999993 224529.63865593908 223751.82968084872 -0.0034641706090403758
 404.00133333333326 273480.9478596812 272388.9951383845 -0.003992792660119626
 410.4036666666666 330672.51129895536 329207.271654167 -0.004431089959768934
 416.806 397065.3038637586 395168.7646775025 -0.00477639110695722
 423.2083333333333 473677.4102527962 471296.02734773856 -0.005027436085218239
 429.61066666666665 561583.1400513287 558671.762598069 -0.005184232299056482
 436.013 661912.1438177295 658438.4761114739 -0.00524792865442914
 442.4153333333333 775848.5967366198 771798.1211278824 -0.005220703660191668
 448.81766666666664 904630.5133831269 900011.7733093181 -0.005105664694567627
 455.21999999999997 1049549.253205795 1044399.3715250661 -0.004906755604845539
 461.6223333333333 1211949.2717585338 1206339.5565476702 -0.004628671629732444
 468.02466666666663 1393228.1677546136 1387269.6376898664 -0.004276779785718965
 474.42699999999996 1594837.0709116028 1588685.7141556607 -0.0038570440003793077
 480.8293333333333 1818281.410507077 1812142.9756560707 -0.003375954247529963
 487.2316666666666 2065122.0997397408 2059256.204749207 -0.00284045916281322
 493.63399999999996 2336977.166526592 2331700.5016929246 -0.002257901749853139
 500.0363333333333 2635523.857368289 2631212.251349353 -0.0016359578786895005
 506.4386666666666 2962501.237462492 2959590.350869487 -9.825773424818724E-4
 512.8409999999999 3319713.307385784 3318697.716524836 -3.0592727952996835E-4
 519.2433333333333 3709032.6544374675 3710463.088144589 3.8566220370435297E-4
 525.6456666666666 4132404.6551480293 4136883.1501669586 0.001083750356671887
 532.048 4591852.244507583 4600024.989326956 0.0017798361933680457
 538.4503333333332 5089481.267146211 5102028.910488435 0.002465407117857357
 544.8526666666667 5627486.425986275 5645111.631822151 0.0031319854908023266
 551.2549999999999 6208157.844750147 6231569.89776197 0.003771175539877845
 557.6573333333333 6833888.262135141 6863784.510243602 0.0043747054329391225
 564.0596666666665 7507180.877405631 7544224.845784636 0.00493447127276447
 570.462 8230657.869603254 8275453.870993151 0.005442578479095104
 576.8643333333333 9007069.615485525 9060133.707361732 0.005891382451954826
 583.2666666666667 9839304.634666922 9901031.791530684 0.006273528379869259
 589.669 1.073040029423208E7 1.0801027685298286E7 0.006581990338624275
 596.0713333333333 1.168355430929871E7 1.1763120597401176E7 0.0068101098343968415
 602.4736666666666 1.2702137080623223E7 1.27904376880583E7 0.006951633955342656
 608.876 1.378970491537605E7 1.388624323767971E7 0.007000753308072334
 615.2783333333333 1.495001418262996E7 1.505394877323994E7 0.006952139933802852
 621.6806666666666 1.6187036460979233E7 1.6297124259917459E7 0.006800985418399818
 628.083 1.7504974741965346E7 1.7619510482088756E7 0.006543039439458822
 634.4853333333333 1.8908280759747718E7 1.9025032757102486E7 0.006174649024850104
 640.8876666666666 2.0401673524664633E7 2.051781641738769E7 0.005692812042239883
