 fug temperature pressure
 100459.85525364318 374.5785891826694 101325.0
 204570.09023972537 395.5904657141366 207708.3225
 307540.6900580582 409.01578302496875 314091.645
 409501.0062674303 419.1494746339766 420474.96749999997
 510537.0565978136 427.39738885460577 526858.29
 610712.8660060118 434.408479704445 633241.6124999999
 710079.1331409722 440.5394583194863 739624.9349999999
 808677.6310603842 446.0088385019943 846008.2575
 906543.7491943203 450.9608243621517 952391.58
 1003708.0932782954 455.4959143201436 1058774.9024999999
 1100197.5566069603 459.68713338870356 1165158.2249999999
 1196036.071726571 463.58932537030717 1271541.5474999999
 1291245.1576899458 467.2447982841919 1377924.8699999999
 1385844.3305136447 470.68692213102275 1484308.1925
 1479851.4186927958 473.94251358683596 1590691.515
 1573282.810794723 477.03346951127673 1697074.8375
 1666153.6532028837 479.977917635427 1803458.16
 1758478.010464464 482.7910468952855 1909841.4825
 1850268.997047024 485.48571928898707 2016224.805
 1941538.8868706585 488.0729291209387 2122608.1275
 2032299.205309975 490.5621533648137 2228991.4499999997
 2122560.807187552 492.9616228752902 2335374.7725
 2212333.9434421104 495.2785350880057 2441758.0949999997
 2301628.318544072 497.5192228081246 2548141.4175
 2390453.1402800777 499.6892895922616 2654524.7399999998
