 liquidfug vaporfug temperature
 0.001963596511376243 0.9786623724183153 262.2050124278687 101325.0
 0.003594877183298011 0.9801080593368151 269.6965842115221 101325.0
 0.006341614886708164 0.9814259499459985 277.1881559951755 101325.0
 0.010812565644831589 0.9826301382375541 284.6797277788289 101325.0
 0.01786732144035445 0.983732859430876 292.1712995624823 101325.0
 0.028685218419504045 0.9847447740539571 299.6628713461357 101325.0
 0.04484188098276383 0.9856752028637638 307.1544431297891 101325.0
 0.06839133687049713 0.9865323220719988 314.64601491344246 101325.0
 0.10195100992051956 0.9873233263413097 322.13758669709586 101325.0
 0.14878639219293383 0.988054565475449 329.62915848074925 101325.0
 0.21289185442997235 0.9887316595312287 337.12073026440265 101325.0
 0.29906389690180707 0.9893595961466336 344.61230204805605 101325.0
 0.41296317909831387 0.9899428131463038 352.10387383170945 101325.0
 0.5611618889032218 0.9904852689064297 359.59544561536285 101325.0
 0.7511733994905478 0.9909905025011093 367.08701739901625 101325.0
 0.9914616852074359 0.9914616852848288 374.5785891826696 101325.0
 1.2914285899335045 0.991901665271104 382.070160966323 101325.0
 1.661377723784684 0.9923130054296216 389.5617327499764 101325.0
 2.11245446768436 0.9926980168318281 397.0533045336298 101325.0
 2.6565622539818485 0.9930587874183964 404.5448763172832 101325.0
