 p z rt vr
 0.5 0.8266108554585418 1.0 6.331783009362528
 0.565 0.7985264654675498 1.0 5.412972114623608
 0.6299999999999999 0.7682590561514844 1.0 4.67048586502186
 0.6949999999999998 0.7351877367155427 1.0 4.051430308815735
 0.7599999999999998 0.6983272886053704 1.0 3.5191707896667093
 0.8249999999999997 0.6559351481791127 1.0 3.0451022326694086
 0.8899999999999997 0.6043185082021634 1.0 2.6005835547673115
 0.9549999999999996 0.5319750205523117 1.0 2.1334515841158037
 1.0199999999999996 0.31154301880404056 1.0 1.1698031196185357
 1.0849999999999995 0.2992727921763644 1.0 1.0564097979024
 1.1499999999999995 0.30192628744907934 1.0 1.0055368934833373
 1.2149999999999994 0.3083095360304897 1.0 0.9718642409854822
 1.2799999999999994 0.31636160071391706 1.0 0.9466048336613855
 1.3449999999999993 0.3253262953041915 1.0 0.9263856229933652
 1.4099999999999993 0.334845501094847 1.0 0.9095368069729252
 1.4749999999999992 0.3447236941929571 1.0 0.8951051131755294
 1.5399999999999991 0.3548438426888048 1.0 0.8824934201250074
 1.604999999999999 0.36513122933236525 1.0 0.8713023105778472
 1.669999999999999 0.3755358229597602 1.0 0.8612511669042587
 1.734999999999999 0.3860228766324866 1.0 0.8521351632023366
 1.799999999999999 0.39656755655560094 1.0 0.8438001523133294
 1.8649999999999989 0.4071517027679204 1.0 0.8361271821551266
 1.9299999999999988 0.41776178781921525 1.0 0.8290225182108919
 1.9949999999999988 0.42838758281875633 1.0 0.8224109745077719
 2.0599999999999987 0.43902125870627434 1.0 0.816231316345779
 2.1249999999999987 0.4496567647789205 1.0 0.8104330064698787
 2.1899999999999986 0.46028938918588347 1.0 0.8049738489237326
 2.2549999999999986 0.4709154419760784 1.0 0.7998182485447481
 2.3199999999999985 0.48153202257033223 1.0 0.7949359024159748
 2.3849999999999985 0.49213684656315837 1.0 0.7903008005691835
 2.4499999999999984 0.5027281149638387 1.0 0.7858904521030096
 2.5149999999999983 0.5133044142797347 1.0 0.7816852782747001
 2.5799999999999983 0.5238646393353937 1.0 0.7776681310847062
 2.6449999999999982 0.5344079330688355 1.0 0.773823907428019
 2.709999999999998 0.5449336391539621 1.0 0.7701392369003349
 2.774999999999998 0.555441264416713 1.0 0.7666022269971288
 2.839999999999998 0.5659304488026677 1.0 0.7632022534867181
 2.904999999999998 0.5764009412193809 1.0 0.7599297866712947
 2.969999999999998 0.5868525799867237 1.0 0.7567762464044191
 3.034999999999998 0.5972852769291002 1.0 0.7537338803346895
 3.099999999999998 0.6076990043661742 1.0 0.750795661048173
 3.164999999999998 0.6180937844254567 1.0 0.7479551986949139
 3.2299999999999978 0.6284696802260277 1.0 0.745206666383874
 3.2949999999999977 0.6388267885785873 1.0 0.7425447361707321
 3.3599999999999977 0.6491652339206884 1.0 0.7399645238836167
