 p z
 0.1 0.9913145919245699
 0.169 0.985307727655493
 0.23800000000000002 0.9792915932500673
 0.30700000000000005 0.9732682493168607
 0.37600000000000006 0.9672399822949926
 0.44500000000000006 0.9612093250061087
 0.514 0.955179078688365
 0.583 0.9491523365145077
 0.6519999999999999 0.9431325085622176
 0.7209999999999999 0.9371233481608465
 0.7899999999999998 0.931128979482583
 0.8589999999999998 0.925153926175939
 0.9279999999999997 0.9192031407531759
 0.9969999999999997 0.9132820343389845
 1.0659999999999996 0.907396506263774
 1.1349999999999996 0.9015529728403773
 1.2039999999999995 0.8957583944979521
 1.2729999999999995 0.8900203002629958
 1.3419999999999994 0.8843468083785808
 1.4109999999999994 0.8787466416459495
 1.4799999999999993 0.8732291358679094
 1.5489999999999993 0.8678042395858443
 1.6179999999999992 0.8624825031513017
 1.6869999999999992 0.8572750550835418
 1.7559999999999991 0.8521935636651264
 1.824999999999999 0.8472501818503195
 1.893999999999999 0.8424574738376128
 1.962999999999999 0.8378283221160406
 2.031999999999999 0.8333758144536386
 2.100999999999999 0.8291131111585104
 2.169999999999999 0.8250532939896622
 2.238999999999999 0.8212091992801429
 2.307999999999999 0.817593239083895
 2.376999999999999 0.8142172153673948
 2.445999999999999 0.8110921333151855
 2.514999999999999 0.808228020575799
 2.5839999999999987 0.8056337596238998
 2.6529999999999987 0.803316940269769
 2.7219999999999986 0.8012837386718888
 2.7909999999999986 0.7995388280269862
 2.8599999999999985 0.7980853245121634
 2.9289999999999985 0.7969247701774417
 2.9979999999999984 0.7960571525106521
 3.0669999999999984 0.7954809585058011
 3.1359999999999983 0.795193259431733
 3.2049999999999983 0.7951898212168804
 3.2739999999999982 0.795465234654286
 3.342999999999998 0.796013059123428
 3.411999999999998 0.7968259738554659
 3.480999999999998 0.7978959310567648
 3.549999999999998 0.7992143060257346
 3.618999999999998 0.8007720402624285
 3.687999999999998 0.8025597745256193
 3.756999999999998 0.8045679697257745
 3.825999999999998 0.8067870143970427
 3.894999999999998 0.8092073182288806
 3.9639999999999977 0.8118193917390724
 4.032999999999998 0.8146139126313818
 4.101999999999998 0.8175817797110279
 4.170999999999998 0.8207141554450256
 4.2399999999999975 0.824002498371166
 4.3089999999999975 0.8274385865990153
 4.3779999999999974 0.8310145336278049
 4.446999999999997 0.834722797646395
 4.515999999999997 0.8385561853938086
 4.584999999999997 0.8425078515566786
 4.653999999999997 0.8465712945710308
 4.722999999999997 0.8507403495866824
 4.791999999999997 0.8550091792475514
 4.860999999999997 0.8593722628433339
 4.929999999999997 0.8638243842988929
 4.998999999999997 0.8683606193881387
 5.067999999999997 0.8729763224892351
 5.136999999999997 0.8776671131372977
 5.205999999999997 0.8824288625788057
 5.274999999999997 0.8872576804878645
 5.343999999999997 0.8921499019675109
 5.412999999999997 0.8971020749284724
 5.481999999999997 0.9021109479124825
 5.550999999999997 0.9071734584065678
 5.6199999999999966 0.9122867216779895
 5.6889999999999965 0.9174480201461725
 5.7579999999999965 0.9226547932973397
 5.826999999999996 0.9279046281393644
 5.895999999999996 0.9331952501879668
 5.964999999999996 0.9385245149706825
 6.033999999999996 0.9438904000315071
 6.102999999999996 0.9492909974167097
 6.171999999999996 0.9547245066206888
 6.240999999999996 0.9601892279697932
 6.309999999999996 0.9656835564215991
 6.378999999999996 0.971205975757111
 6.447999999999996 0.9767550531436218
 6.516999999999996 0.9823294340464936
 6.585999999999996 0.9879278374687962
 6.654999999999996 0.9935490514985292
 6.723999999999996 0.9991919291440612
 6.792999999999996 1.0048553844393284
 6.861999999999996 1.0105383888012978
 6.930999999999996 1.016239967623163
 6.999999999999996 1.0219591970876891
