 p z rt
 0.1 0.9695484664751026 1.0
 0.169 0.9475598586878593 1.0
 0.23800000000000002 0.9246560378458076 1.0
 0.30700000000000005 0.9007082661379933 1.0
 0.37600000000000006 0.8755543760264697 1.0
 0.44500000000000006 0.8489852005153082 1.0
 0.514 0.8207229894828763 1.0
 0.583 0.7903851481227112 1.0
 0.6519999999999999 0.7574189046859368 1.0
 0.7209999999999999 0.7209721550109112 1.0
 0.7899999999999998 0.6796026411670884 1.0
 0.8589999999999998 0.6304788242261701 1.0
 0.9279999999999997 0.5662326843769245 1.0
 0.9969999999999997 0.4290693643155179 1.0
 1.0659999999999996 0.300047750286898 1.0
 1.1349999999999996 0.30085125160253656 1.0
 1.2039999999999995 0.3070808549118269 1.0
 1.2729999999999995 0.31544186679788794 1.0
 1.3419999999999994 0.32489838543308225 1.0
 1.4109999999999994 0.3349951284022919 1.0
 1.4799999999999993 0.34549472889141125 1.0
 1.5489999999999993 0.3562596132400194 1.0
 1.6179999999999992 0.36720406100675307 1.0
 1.6869999999999992 0.37827177969772585 1.0
 1.7559999999999991 0.3894243057564682 1.0
 1.824999999999999 0.4006345359855962 1.0
 1.893999999999999 0.41188290198409994 1.0
 1.962999999999999 0.42315499849022686 1.0
 2.031999999999999 0.4344400550543018 1.0
 2.100999999999999 0.44572991878057133 1.0
 2.169999999999999 0.4570183583998793 1.0
 2.238999999999999 0.4683005768216382 1.0
 2.307999999999999 0.4795728626632186 1.0
 2.376999999999999 0.4908323366404581 1.0
 2.445999999999999 0.5020767640667981 1.0
 2.514999999999999 0.5133044142797348 1.0
 2.5839999999999987 0.5245139539303718 1.0
 2.6529999999999987 0.5357043650715265 1.0
 2.7219999999999986 0.5468748816491213 1.0
 2.7909999999999986 0.5580249398161432 1.0
 2.8599999999999985 0.5691541387428074 1.0
 2.9289999999999985 0.5802622094769845 1.0
 2.9979999999999984 0.5913489900355754 1.0
 3.0669999999999984 0.6024144053592636 1.0
 3.1359999999999983 0.6134584510926149 1.0
 3.2049999999999983 0.6244811803944974 1.0
 3.2739999999999982 0.6354826931648359 1.0
 3.342999999999998 0.6464631272098378 1.0
 3.411999999999998 0.6574226509710845 1.0
 3.480999999999998 0.6683614575228642 1.0
 3.549999999999998 0.6792797596029573 1.0
 3.618999999999998 0.6901777854893402 1.0
 3.687999999999998 0.7010557755721575 1.0
 3.756999999999998 0.7119139794993529 1.0
 3.825999999999998 0.7227526537972786 1.0
 3.894999999999998 0.7335720598858826 1.0
 3.9639999999999977 0.7443724624226598 1.0
