 Temperature experimentalPressure calculatedPressure error
 104.0 103.56622248427362 153.4331729324896 0.4814982071571473
 108.45875 225.93367335758464 315.31268379821836 0.39559844759914914
 112.9175 459.46386724332456 609.1811501553848 0.3258521367748215
 117.37625 878.4883793098836 1114.53599117313 0.26869747787520987
 121.83500000000001 1590.6893883378973 1943.0259583799925 0.22149928994638593
 126.29375 2744.689986952827 3244.981865639993 0.1822762793121832
 130.7525 4537.076026879934 5215.447376968608 0.1495172983810849
 135.21125 7218.312051702389 8099.3418659311055 0.12205482499484513
 139.67000000000002 11097.132897273359 12195.483685909956 0.09897608677881736
 144.12875 16543.153668181298 17859.31858406194 0.07955949284398675
 148.5875 23987.615711939467 25504.315020630474 0.06322843115817026
 153.04625 33922.350235497586 35602.09053754122 0.049517214767916956
 157.505 46897.17663928513 48681.4116840274 0.03804568148027152
 161.96375 63516.04973661293 65326.26084915629 0.028500058175058313
 166.4225 84432.3262537398 86173.1879461872 0.020618426255551568
 170.88125000000002 110343.53936051094 111908.16750766162 0.014179608124031412
 175.34 141986.0569708474 143263.168104037 0.008994623559775497
 179.79874999999998 180129.9633426279 181012.6169038203 0.0049000929374171396
 184.2575 225574.45245673237 225969.91275901475 0.0017531254003963072
 188.71625 279143.96331987536 278984.1104219872 -5.726539667454245E-4
 193.175 341685.2279066217 340936.8691829758 -0.0021901992317046566
 197.63375000000002 414065.34655218374 412739.7330926964 -0.0032014595534868434
 202.0925 497170.9563171805 495331.7878741503 -0.0036992676657017316
 206.55125 591908.5169150722 589677.7218797593 -0.0037688172607135517
 211.01 699205.7068903059 696766.3048523447 -0.0034888188324582407
 215.46875 820013.899729359 817609.2884026689 -0.0029324031305855832
 219.9275 955311.6748063695 953240.7252391925 -0.0021678260841905246
 224.38625000000002 1106109.3105193842 1104716.7019771512 -0.0012590152971220306
 228.845 1273454.2055254753 1273115.4743231647 -2.659940191338694E-4
 233.30375 1458437.1774788846 1459537.9999508786 7.547959480139576E-4
 237.76250000000002 1662199.596031256 1665108.860229018 0.0017502496118445606
 242.22125 1885941.3171042276 1890977.567733581 0.002670417464041913
 246.68 2130929.397780692 2138320.2591781644 0.003468374599913822
 251.13875000000002 2398507.5849297 2408341.777962043 0.004100130053427027
 255.5975 2690106.585381913 2702278.1557187065 0.0045245680609586544
 260.05625 3007255.1407533367 3021399.508158746 0.004703414490420059
 264.515 3351591.9456436345 3367013.3671856937 0.004601222879206335
 268.97375 3724878.4637933513 3740468.4788194294 0.004185375490131159
 273.4325 4129012.712837784 4143159.105043653 0.0034260955801577874
 277.89125 4566044.104592201 4576529.877512624 0.00229646772572267
