 Temperature experimentalPressure calculatedPressure error
 263.15 205.90559305981742 220.39604435841937 0.07037424813609773
 272.7535 449.3832072805345 470.76271196882215 0.047575219416112126
 282.35699999999997 921.0285325058956 948.4052971818434 0.029724122228290004
 291.96049999999997 1784.7131605171073 1813.0372251862411 0.015870373624032177
 301.56399999999996 3288.887382252035 3306.1813039186977 0.005258289402059399
 311.16749999999996 5793.434832631558 5777.682638594593 -0.0027189731984625
 320.77099999999996 9798.866741335012 9715.061218058354 -0.008552573015728194
 330.3745 15976.43179304646 15774.452651994181 -0.012642318614610067
 339.97799999999995 25197.584594653348 24811.685833146006 -0.015314910842256899
 349.5815 38561.303602823034 37912.010732948744 -0.01683793879382119
 359.18499999999995 57417.95989364994 56417.1146083023 -0.01743087506420318
 368.7885 83388.77162787979 81948.32163041786 -0.017273908337322622
 378.392 118380.28471774078 116425.21379153895 -0.016515173374210032
 387.9955 164593.74625648741 162079.28858052104 -0.015276750989360688
 397.599 224529.63865593908 221462.63409728342 -0.01365968687704268
 407.2025 300987.9854583644 297451.9187063892 -0.0117481990073134
 416.806 397065.3038637586 393248.23782982916 -0.0096131945974287
 426.4095 516149.25606463524 512373.52676874015 -0.007315188875177351
 436.013 661912.1438177295 658664.338633345 -0.0049067013118268485
 445.6165 838304.4081559778 836263.8111089299 -0.0024341957732712314
 455.21999999999997 1049549.253205795 1049612.620784634 6.0375993451854523E-5
 464.82349999999997 1300139.4261586345 1303439.66233994 0.0025383709738395514
 474.427 1594837.0709116056 1602753.1106459764 0.004963541341465045
 484.03049999999996 1938677.4455849763 1952832.4349018103 0.007301363797814638
 493.634 2336977.166526592 2359221.8470718837 0.00951856991326695
 503.23749999999995 2795347.523282615 2827725.5901816874 0.01158284135671631
 512.841 3319713.30738579 3364405.4001393425 0.013462636262631522
 522.4445000000001 3916337.5172551675 3975580.430931215 0.015127121555541799
 532.048 4591852.244507583 4667829.889444699 0.01654618678725873
 541.6514999999999 5353296.014409951 5447998.609485179 0.017690520909045326
 551.255 6208157.844750147 6323205.790504624 0.01853173656848395
 560.8585 7164428.301978258 7300857.121007126 0.019042526950991522
 570.462 8230657.869603254 8388660.57862825 0.019196850546846
 580.0654999999999 9416022.999874147 9594646.162105026 0.018970128071401963
 589.669 1.073040029423208E7 1.0927189942279633E7 0.0183394507801665
 599.2725 1.2184449349598924E7 1.2395042848747835E7 0.01728379289917135
 608.876 1.378970491537605E7 1.4007364716889841E7 0.015784224742263486
 618.4794999999999 1.5558679129588678E7 1.5773764235103097E7 0.01382412373974477
 628.083 1.7504974741965346E7 1.7704345577446446E7 0.011389381499828186
 637.6865 1.9643410387374688E7 1.9809762687599316E7 0.00846860585530235
