 pressure x y calcPressure ycalc
 789524.4 0.0596 0.9761 416610.15763347887 0.9745423290066334
 1906328.55 0.1548 0.9907 1024195.6648655434 0.9904278203524737
 3064675.9499999997 0.2601 0.992 1616114.8914754777 0.9945979553755541
 4002641.475 0.3495 0.9929 2031734.6286560257 0.9962152781904013
 4930879.8 0.4886 0.993 2486526.7071206337 0.9976049451727969
 5574192.225 0.6451 0.9931 2717662.678231007 0.9984776050661541
 5827099.425 0.7685 0.993 2758740.206148584 0.9989026030197053
 5952742.425 0.9002 0.993 2805558.724802205 0.9991865488621732
