 entropy p
 196030.31269054158 125297.72181752135
 196166.38879980316 123295.74319588774
 196304.65650269212 121293.76457425414

 89709.53237207061 240335.51841892547
 89686.4177608878 1188431.0011382916
 89663.38245693927 2136526.4838576578
 89640.42585832962 3084621.9665770237
 89617.5473703475 4032717.4492963897
 89594.74640538616 4980812.932015756
 89572.02238274069 5928908.414735123
 89549.37472866525 6877003.897454489
 89526.80287609217 7825099.380173855
 89504.30626460857 8773194.862893222
 89481.88434033259 9721290.345612587
 89459.53655580911 1.0669385828331953E7
 89437.26236990784 1.1617481311051318E7
 89415.0612477227 1.2565576793770684E7
 89392.9326604745 1.351367227649005E7
 89370.87608541438 1.4461767759209415E7
 89348.89100572935 1.540986324192878E7
 89326.97691045041 1.6357958724648146E7
 89305.13329436175 1.7306054207367513E7
 89283.3596579122 1.825414969008688E7
 89261.65550712831 1.9202245172806244E7
 89240.02035352844 2.015034065552561E7
 89218.45371404011 2.1098436138244975E7
 89196.9551109169 2.204653162096434E7
 89175.52407165905 2.2994627103683706E7
 89154.16012893368 2.3942722586403072E7
 89132.86282049805 2.4890818069122437E7
 89111.63168912308 2.5838913551841803E7
 89090.46628251934 2.678700903456117E7
 89069.3661532636 2.7735104517280534E7
 89048.33085872757 2.86831999999999E7

 191264.99862127312 240335.51841892547
 191407.55694533326 236367.45995743643
 191552.45598051063 232399.4014959474
 191699.77645615756 228431.34303445835
 191849.60334566137 224463.2845729693
 192002.02616926434 220495.22611148027
 192157.13932438372 216527.16764999123
 192315.04244648298 212559.1091885022
 192475.84080395082 208591.05072701315
 192639.64573090588 204622.9922655241
 192806.57510238548 200654.93380403507
 192976.75385699814 196686.87534254603
 193150.3145728447 192718.816881057
 193327.39810335982 188750.75841956795
 193508.15428071318 184782.6999580789
 193692.74269557255 180814.64149658987
 193881.33356339752 176846.58303510083
 194074.10868904885 172878.5245736118
 194271.2625434142 168910.46611212275
 194473.0034680323 164942.40765063372
 194679.55502642167 160974.34918914468
 194891.15752409052 157006.29072765564
 195108.06972314254 153038.2322661666
 195330.5707821618 149070.17380467756
 195558.9624578558 145102.11534318852
 195793.57161201976 141134.05688169948
 196034.75307608492 137165.99842021044
 196282.89293625782 133197.9399587214
 196538.41231560337 129229.88149723235
 196801.7717461002 125261.82303574329
 197073.4762446718 121293.76457425424

 91545.65754776169 314024.434670569
 91521.25994929898 1259663.620181547
 91496.9514640308 2205302.805692525
 91472.73137039397 3150941.991203503
 91448.59895604465 4096581.1767144813
 91424.55351769848 5042220.36222546
 91400.59436096353 5987859.547736438
 91376.72080019949 6933498.733247416
 91352.93215835412 7879137.918758394
 91329.22776682196 8824777.104269372
 91305.60696529891 9770416.28978035
 91282.06910164039 1.0716055475291329E7
 91258.61353172395 1.1661694660802307E7
 91235.23961931388 1.2607333846313285E7
 91211.94673592871 1.3552973031824263E7
 91188.73426071204 1.449861221733524E7
 91165.60158030543 1.5444251402846219E7
 91142.54808872487 1.6389890588357197E7
 91119.5731872392 1.7335529773868173E7
 91096.67628425056 1.828116895937915E7
 91073.85679517932 1.922680814489013E7
 91051.11414234855 2.0172447330401108E7
 91028.4477548734 2.1118086515912086E7
 91005.85706855165 2.2063725701423064E7
 90983.34152575572 2.3009364886934042E7
 90960.9005753289 2.395500407244502E7
 90938.5336724818 2.4900643257956E7
 90916.24027869184 2.5846282443466976E7
 90894.0198616044 2.6791921628977954E7
 90871.87189493616 2.7737560814488932E7
 90849.7958583804 2.868319999999991E7

 189727.6995219508 314024.434670569
 189905.99187081977 307600.0790006919
 190087.90497507772 301175.72333081474
 190273.59529782634 294751.3676609376
 190463.22964597054 288327.01199106046
 190656.9861027029 281902.6563211833
 190855.05506749262 275478.30065130617
 191057.6404188039 269053.944981429
 191264.96081734504 262629.5893115519
 191477.25117073595 256205.2336416747
 191694.76428419637 249780.87797179754
 191917.7727263467 243356.52230192037
 192146.57094466253 236932.1666320432
 192381.47767177375 230507.81096216603
 192622.83867195295 224083.45529228885
 192871.0298871892 217659.09962241168
 193126.46105470587 211234.7439525345
 193389.57988332512 204810.38828265734
 193660.8768955897 198386.03261278017
 193940.89106720246 191961.676942903
 194230.21642671188 185537.32127302582
 194529.50981858507 179112.96560314865
 194839.50008478927 172688.60993327148
 195160.99898775344 166264.2542633943
 195494.91428671574 159839.89859351714
 195842.26549786876 153415.54292363997
 196204.20302769417 146991.1872537628
 196582.03158474702 140566.83158388562
 196977.23907191498 134142.47591400845
 197391.53257460461 127718.12024413128
 197826.88364468154 121293.7645742541

 93356.01238366516 404956.57224912854
 93330.23146835211 1347564.686507488
 93304.550949225 2290172.8007658473
 93278.96995768578 3232780.915024207
 93253.48763700861 4175389.029282566
 93228.1031421022 5117997.143540925
 93202.81563929608 6060605.2577992845
 93177.62430613232 7003213.372057644
 93152.52833115161 7945821.486316003
 93127.52691369793 8888429.600574363
 93102.61926371927 9831037.714832723
 93077.80460157558 1.0773645829091083E7
 93053.0821578508 1.1716253943349443E7
 93028.45117316871 1.2658862057607803E7
 93003.91089801407 1.3601470171866164E7
 92979.4605925577 1.4544078286124524E7
 92955.09952648351 1.5486686400382884E7
 92930.82697882262 1.6429294514641244E7
 92906.6422377883 1.7371902628899604E7
 92882.5446006166 1.8314510743157964E7
 92858.53337340914 1.9257118857416324E7
 92834.60787098025 2.0199726971674684E7
 92810.76741670739 2.1142335085933045E7
 92787.01134238378 2.2084943200191405E7
 92763.33898807588 2.3027551314449765E7
 92739.74970198274 2.3970159428708125E7
 92716.24284029892 2.4912767542966485E7
 92692.81776707995 2.5855375657224845E7
 92669.47385411093 2.6797983771483205E7
 92646.21048077822 2.7740591885741565E7

 188274.42982015968 404956.57224912854
 188479.97655125114 395501.1453266327
 188690.26338808646 386045.7184041369
 188905.5261653687 376590.29148164106
 189126.01870723226 367134.86455914524
