 entropy volume pressure temperature
 -626173.4957274392 23.34626859174476 134770.8495269488 382.57
 -626088.3978669257 23.584696689852255 133423.1410316793 382.57
 -626002.4520361739 23.827990176023373 132075.43253640982 382.57
 -625915.6408319592 24.076299526483027 130727.72404114033 382.57
 -625827.9463100143 24.329781487298472 129380.01554587085 382.57
 -625739.3499623658 24.5885994043711 128032.30705060135 382.57
 -625649.832693472 24.85292357449136 126684.59855533186 382.57
 -625559.3747950864 25.12293161904256 125336.89006006237 382.57
 -625467.9559197603 25.39880888207648 123989.18156479289 382.57
 -625375.5550528978 25.680748854635873 122641.4730695234 382.57

 -616740.9948857232 18.94017292664179 168630.0552440359 389.18425
 -616499.0524098064 19.49446675328852 163896.4261770577 389.18425
 -616250.1760215235 20.081726177428198 159162.7971100795 389.18425
 -615993.946675316 20.704982635937956 154429.16804310132 389.18425
 -615729.906180442 21.367651002542523 149695.53897612312 389.18425
 -615457.5521680426 22.073592192115346 144961.90990914492 389.18425
 -615176.3322224052 22.82718844482738 140228.2808421667 389.18425
 -614885.6370041305 23.63343439101771 135494.6517751885 389.18425
 -614584.7921499894 24.4980478956885 130761.02270821031 389.18425
 -614273.0486786691 25.427605883127367 126027.39364123212 389.18425

 -607608.3524522057 15.491590995235347 209155.57404085464 395.79850000000005
 -607242.1801902486 16.181658941973854 200369.39309419456 395.79850000000005
 -606860.0199820095 16.93500865531088 191583.2121475345 395.79850000000005
 -606460.3687453636 17.760765141168307 182797.03120087442 395.79850000000005
 -606041.5011643082 18.669896369617835 174010.85025421437 395.79850000000005
 -605601.4235952456 19.67570329300782 165224.6693075543 395.79850000000005
 -605137.8153661807 20.794474991788707 156438.4883608942 395.79850000000005
 -604647.9530903905 22.04637773052403 147652.30741423415 395.79850000000005
 -604128.6117324446 23.45668152199696 138866.12646757407 395.79850000000005
 -603575.9332936525 25.05748377705017 130079.945520914 395.79850000000005

 -598762.067041214 12.768320041073707 257283.8416131906 402.4127500000001
 -598296.5380614314 13.494237798808395 243684.83390929693 402.4127500000001
 -597805.1076814755 14.305941560424666 230085.82620540325 402.4127500000001
 -597284.6139802062 15.219597866902562 216486.8185015096 402.4127500000001
 -596731.2790976841 16.25570765166763 202887.81079761594 402.4127500000001
 -596140.5380663908 17.440663211631158 189288.80309372226 402.4127500000001
 -595506.803714242 18.809028268417297 175689.7953898286 402.4127500000001
 -594823.1366586993 20.406965777859853 162090.78768593492 402.4127500000001
 -594080.770344031 22.297549270335047 148491.77998204128 402.4127500000001
 -593268.407291018 24.569286918813074 134892.77227814757 402.4127500000001

 -590189.5468896552 10.59963097431508 314024.43467056897 409.0270000000001
