 enthalpy volume pressure temperature
 -2.3905176036565086E8 23.34626859174476 134770.8495269488 382.57
 -2.3905082856926265E8 23.584696689852255 133423.1410316793 382.57
 -2.3904989695847705E8 23.827990176023373 132075.43253640982 382.57
 -2.3904896553318015E8 24.076299526483027 130727.72404114033 382.57
 -2.3904803429325807E8 24.329781487298472 129380.01554587085 382.57
 -2.390471032385972E8 24.5885994043711 128032.30705060135 382.57
 -2.390461723690839E8 24.85292357449136 126684.59855533186 382.57
 -2.3904524168460476E8 25.12293161904256 125336.89006006237 382.57
 -2.3904431118504637E8 25.39880888207648 123989.18156479289 382.57
 -2.3904338087029552E8 25.680748854635873 122641.4730695234 382.57

 -2.3884662117321065E8 18.94017292664179 168630.0552440359 389.18425
 -2.388434161868951E8 19.49446675328852 163896.4261770577 389.18425
 -2.388402133488733E8 20.081726177428198 159162.7971100795 389.18425
 -2.3883701265470982E8 20.704982635937956 154429.16804310132 389.18425
 -2.3883381409998453E8 21.367651002542523 149695.53897612312 389.18425
 -2.388306176802925E8 22.073592192115346 144961.90990914492 389.18425
 -2.3882742339124382E8 22.82718844482738 140228.2808421667 389.18425
 -2.388242312284636E8 23.63343439101771 135494.6517751885 389.18425
 -2.388210411875919E8 24.4980478956885 130761.02270821031 389.18425
 -2.3881785326428375E8 25.427605883127367 126027.39364123212 389.18425

 -2.3864459362470448E8 15.491590995235347 209155.57404085464 395.79850000000005
 -2.3863876328972048E8 16.181658941973854 200369.39309419456 395.79850000000005
 -2.3863293991481522E8 16.93500865531088 191583.2121475345 395.79850000000005
 -2.3862712347441283E8 17.760765141168307 182797.03120087442 395.79850000000005
 -2.3862131394309372E8 18.669896369617835 174010.85025421437 395.79850000000005
 -2.3861551129559308E8 19.67570329300782 165224.6693075543 395.79850000000005
 -2.3860971550679967E8 20.794474991788707 156438.4883608942 395.79850000000005
 -2.3860392655175433E8 22.04637773052403 147652.30741423415 395.79850000000005
 -2.3859814440564895E8 23.45668152199696 138866.12646757407 395.79850000000005
 -2.3859236904382503E8 25.05748377705017 130079.945520914 395.79850000000005

 -2.3844605616436034E8 12.768320041073707 257283.8416131906 402.4127500000001
 -2.3843720441744778E8 13.494237798808395 243684.83390929693 402.4127500000001
 -2.3842836838744488E8 14.305941560424666 230085.82620540325 402.4127500000001
 -2.384195479885173E8 15.219597866902562 216486.8185015096 402.4127500000001
 -2.3841074313560873E8 16.25570765166763 202887.81079761594 402.4127500000001
 -2.384019537444308E8 17.440663211631158 189288.80309372226 402.4127500000001
 -2.3839317973145366E8 18.809028268417297 175689.7953898286 402.4127500000001
 -2.383844210138964E8 20.406965777859853 162090.78768593492 402.4127500000001
 -2.383756775097176E8 22.297549270335047 148491.77998204128 402.4127500000001
 -2.3836694913760626E8 24.569286918813074 134892.77227814757 402.4127500000001

 -2.3825140738804168E8 10.59963097431508 314024.43467056897 409.0270000000001
 -2.3823909106866264E8 11.308023370861632 294751.3676609375 409.0270000000001
 -2.382268045796857E8 12.115500362623205 275478.30065130594 409.0270000000001
 -2.382145476990955E8 13.044423193481908 256205.23364167445 409.0270000000001
 -2.3820232020761502E8 14.124428936933269 236932.16663204296 409.0270000000001
 -2.3819012188865876E8 15.395651761706114 217659.09962241145 409.0270000000001
 -2.381779525282867E8 16.91382185985519 198386.03261277993 409.0270000000001
 -2.3816581191515917E8 18.758656330265794 179112.96560314845 409.0270000000001
 -2.3815369984049296E8 21.04832056375754 159839.89859351693 409.0270000000001
 -2.3814161609801805E8 23.96578639960812 140566.83158388542 409.0270000000001

 -2.3806106586082703E8 8.858763304147823 380459.6707848715 415.6412500000001
 -2.380447912848255E8 9.523060419369477 354543.08016380976 415.6412500000001
 -2.3802856780877575E8 10.29208253273102 328626.48954274796 415.6412500000001
 -2.3801239494019762E8 11.192728371814209 302709.8989216862 415.6412500000001
 -2.379962721944654E8 12.261970934442735 276793.3083006245 415.6412500000001
 -2.3798019909463364E8 13.552061055435306 250876.71767956272 415.6412500000001
 -2.3796417517126766E8 15.139327843011877 224960.12705850095 415.6412500000001
 -2.3794819996227917E8 17.139854313805312 199043.5364374392 415.6412500000001
 -2.379322730127664E8 19.739232604445654 173126.94581637744 415.6412500000001
 -2.3791639387485826E8 23.253749864886622 147210.35519531567 415.6412500000001

 -2.3787547016456136E8 7.450724571466847 457743.8829811293 422.25550000000015
 -2.3785468940046674E8 8.059585640072207 424098.87114044174 422.25550000000015
 -2.3783399043646756E8 8.773306520687084 390453.8592997542 422.25550000000015
 -2.37813372285538E8 9.621551163168661 356808.84745906666 422.25550000000015
 -2.3779283398032856E8 10.646336908246637 323163.8356183792 422.25550000000015
 -2.3777237457262152E8 11.909212432178144 289518.8237776916 422.25550000000015
 -2.377519931328052E8 13.504098686689334 255873.8119370041 422.25550000000015
 -2.377316887493671E8 15.581794400175381 222228.80009631655 422.25550000000015
 -2.377114605284042E8 18.400713564735817 188583.788255629 422.25550000000015
 -2.376913075931506E8 22.443728906126204 154938.77641494147 422.25550000000015

 -2.3769507922400132E8 6.303697490285353 547102.429619836 428.8697500000002
 -2.3766918599583545E8 6.85423956795793 504521.56311527785 428.8697500000002
 -2.376434175544332E8 7.5061879860173795 461940.6966107196 428.8697500000002
 -2.3761777205917716E8 8.290433928626527 419359.8301061614 428.8697500000002
 -2.3759224771422258E8 9.251832944113783 376778.9636016032 428.8697500000002
 -2.3756684276698756E8 10.458101088189087 334198.097097045 428.8697500000002
 -2.37541555506708E8 12.016504958124095 291617.2305924868 428.8697500000002
