 x1 yExp expTemp calcTemp yCalc
 0.565 0.805 345.15 345.0838858498626 0.6992646200394037
 0.585 0.816 344.65 344.6968872090003 0.7097562802874279
 0.6 0.831 344.55 344.4112622154777 0.71782503822652
 0.662 0.857 343.75 343.27341467285305 0.7530245807991821
 0.675 0.865 343.05 343.04367167824864 0.7607875351410581
 0.7 0.874 342.75 342.61056090073816 0.7760935547856651
 0.714 0.878 342.25 342.37303915725647 0.7848830423640737
 0.8 0.918 340.95 340.9933579849087 0.8423586649516571
 0.85 0.93 340.05 340.25383701540255 0.8785745546732642
 0.8808 0.9417 339.65 339.8209877728497 0.9019278275099154
 0.89 0.956 339.35 339.6950227260785 0.9090595723217586
 0.9 0.961 339.25 339.55983057951494 0.9168934131247221
 0.92 0.965 338.85 339.2948150773891 0.9328184448302946
 0.95 0.981 338.55 338.9106060036636 0.9573543864969974
 0.9657 0.9569 338.1 338.71584463383147 0.9705077182008942
 0.9871 0.9778 337.85 338.45728088537464 0.9887858264051305
 1.0 1.0 337.75 338.3052352218077 1.0
