 x1 yExp expTemp calcTemp yCalc
 0.565 0.805 345.15 341.0318411555335 0.7608246968794208
 0.585 0.816 344.65 340.89062123979454 0.766200359929167
 0.6 0.831 344.55 340.7817185373059 0.7705751488752748
 0.662 0.857 343.75 340.3164816921946 0.7917637695344613
 0.675 0.865 343.05 340.217873821194 0.7968407522893021
 0.7 0.874 342.75 340.02914460026733 0.8072247203098524
 0.714 0.878 342.25 339.92448252034717 0.8133980110234439
 0.8 0.918 340.95 339.3143249799123 0.8570640137213094
 0.85 0.93 340.05 338.99857902492056 0.8871385625464457
 0.8808 0.9417 339.65 338.82275780814456 0.9074598532703017
 0.89 0.956 339.35 338.77329526676033 0.913803465300239
 0.9 0.961 339.25 338.7212028444274 0.920844078981085
 0.92 0.965 338.85 338.6224173530827 0.9353865711085592
 0.95 0.981 338.55 338.4883736094102 0.9583819982236534
 0.9657 0.9569 338.1 338.42529698543456 0.9709975971517915
 0.9871 0.9778 337.85 338.34747448280484 0.9888563737963344
 1.0 1.0 337.75 338.3052352218077 1.0
