 Volumen Presion
 0.245 1.0441266488090485E7
 0.25455 2287790.5818669796
 0.2641 -2411414.2075491846
 0.27365 -5209328.11473012
 0.2832 -6883351.816813987
 0.29275 -7860103.336953867
 0.3023 -8389650.590447709
 0.31184999999999996 -8625945.215298094
 0.3214 -8667380.816455163
 0.33094999999999997 -8578691.447074398
 0.3405 -8403436.628681544
 0.35005 -8171441.499771804
 0.3596 -7903395.711755762
 0.36915 -7613784.45973712
 0.3787 -7312805.54222329
 0.38825 -7007651.242336087
 0.3978 -6703381.902980138
 0.40735 -6403531.0731243845
 0.4169 -6110530.681744184
 0.42645 -5826013.443203157
 0.436 -5551030.227747826
 0.44555 -5286207.731159927
 0.45509999999999995 -5031863.72359192
 0.46465 -4788091.832578378
 0.47419999999999995 -4554824.237601671
 0.48375 -4331878.214788949
 0.49329999999999996 -4118990.785706347
 0.50285 -3915844.546453001
 0.5124 -3722086.920725113
 0.5219499999999999 -3537344.486054263
 0.5315 -3361233.5940021537
 0.54105 -3193368.1937015187
 0.5506 -3033365.540027989
 0.5601499999999999 -2880850.2993898857
 0.5697 -2735457.4411307126
 0.57925 -2596834.209145953
 0.5888 -2464641.3981460202
 0.5983499999999999 -2338554.1060088435
 0.6079 -2218262.0934674935
 0.61745 -2103469.8517562943
 0.627 -1993896.4554248955
 0.63655 -1889275.2595682275
 0.6460999999999999 -1789353.4869017983
 0.65565 -1693891.7394549027
 0.6652 -1602663.4614193784
 0.67475 -1515454.3733183974
 0.6842999999999999 -1432061.8927224753
 0.69385 -1352294.552913161
 0.7034 -1275971.4279291714
 0.71295 -1202921.5701332642
 0.7224999999999999 -1132983.464662619
 0.73205 -1066004.5037562894
 0.7416 -1001840.4829010898
 0.75115 -940355.1199329514
 0.7606999999999999 -881419.5976199247
 0.77025 -824912.1297935257
 0.7797999999999999 -770717.5507535683
 0.78935 -718726.9274222497
 0.7988999999999999 -668837.1935454542
 0.80845 -620950.8051169277
 0.818 -574975.4161216398
 0.82755 -530823.5736481925
 0.8371 -488412.43139889
 0.84665 -447663.4806237179
 0.8562 -408502.2975163306
 0.8657499999999999 -370858.30613236455
 0.8753 -334664.5559199923
 0.8848499999999999 -299857.5129873059
 0.8944 -266376.8642692282
 0.9039499999999999 -234165.33379653655
 0.9135 -203168.5103104827
 0.9230499999999999 -173334.68550743116
 0.9326 -144614.70223833714
 0.9421499999999999 -116961.8120273999
 0.9517 -90331.54131241096
 0.9612499999999999 -64681.56584607856
 0.9708 -39971.59273269633
 0.9803499999999999 -16163.24960795883
 0.9899 6780.01949862577
 0.99945 28893.05204934301
 1.009 50209.05903431773
 1.0185499999999998 70759.71153389942
 1.0280999999999998 90575.22215839801
 1.03765 109684.42169285007
 1.0472 128114.83125266852
 1.05675 145892.73023561388
 1.0663 163043.2203364377
 1.07585 179590.2858727919
 1.0854 195556.850654345
 1.0949499999999999 210964.83161160816
 1.1044999999999998 225835.1893865168
 1.11405 240187.9760733936
 1.1236 254042.38028637972
 1.13315 267416.7697177832
 1.1427 280328.73134091264
 1.15225 292795.10940087447
 1.1618 304832.0413273829
 1.17135 316454.99169488205
 1.1808999999999998 327678.7843471067
 1.1904499999999998 338517.63279561466
