 gibbs p
 -3.136832065198785E8 127583.07088551161
 -3.1369431167749256E8 127133.83472042179
 -3.137054565555423E8 126684.59855533196
 -3.137166414362087E8 126235.36239024214
 -3.137278666046908E8 125786.12622515231
 -3.137391323492485E8 125336.89006006249
 -3.137504389612472E8 124887.65389497267
 -3.137617867352021E8 124438.41772988284
 -3.137731759688237E8 123989.18156479302
 -3.137846069630647E8 123539.9453997032
 -3.137960800221666E8 123090.70923461337
 -3.1380759545370835E8 122641.47306952355
 -3.1381915356865513E8 122192.23690443372
 -3.138307546814079E8 121743.0007393439
 -3.1384239910985506E8 121293.76457425408

 -3.1427601450092256E8 181353.12322326234
 -3.142542589402172E8 1131414.6857824838
 -3.142325096388765E8 2081476.2483417052
 -3.142107665688649E8 3031537.8109009266
 -3.141890297023725E8 3981599.373460148
 -3.141672990118121E8 4931660.936019369
 -3.1414557446981645E8 5881722.498578591
 -3.141238560492358E8 6831784.061137813
 -3.141021437231354E8 7781845.623697035
 -3.140804374647927E8 8731907.186256256
 -3.140587372476952E8 9681968.748815477
 -3.140370430455378E8 1.0632030311374698E7
 -3.1401535483222044E8 1.1582091873933919E7
 -3.1399367258184564E8 1.253215343649314E7
 -3.139719962687164E8 1.348221499905236E7
 -3.139503258673336E8 1.4432276561611582E7
 -3.139286613523941E8 1.5382338124170803E7
 -3.1390700269878817E8 1.6332399686730023E7
 -3.138853498815974E8 1.7282461249289244E7
 -3.138637028760927E8 1.8232522811848465E7
 -3.1384206165773195E8 1.9182584374407686E7
 -3.138204262021581E8 2.0132645936966907E7
 -3.1379879648519677E8 2.108270749952613E7
 -3.137771724828548E8 2.203276906208535E7
 -3.137555541713178E8 2.298283062464457E7
 -3.13733941526948E8 2.393289218720379E7
 -3.1371233452628285E8 2.4882953749763012E7
 -3.136907331460328E8 2.5833015312322233E7
 -3.1366913736307937E8 2.6783076874881454E7
 -3.136475471544735E8 2.7733138437440675E7
 -3.136259624974334E8 2.8683199999999896E7

