 gibbs volume pressure temperature
 -3.1351070678520447E8 0.022704278204680416 134770.8495269488 382.57
 -3.134459152416415E8 0.022686378794425317 2989613.7645742497 382.57
 -3.1338117447528213E8 0.022668704674049897 5844456.679621551 382.57
 -3.1331648385018224E8 0.022651250811485838 8699299.594668852 382.57
 -3.132518427445256E8 0.022634012340022408 1.1554142509716153E7 382.57
 -3.131872505501625E8 0.02261698455111129 1.4408985424763454E7 382.57
 -3.131227066721674E8 0.022600162887551418 1.7263828339810755E7 382.57
 -3.1305821052841693E8 0.022583542937038813 2.0118671254858054E7 382.57
 -3.1299376154918444E8 0.022567120426059042 2.2973514169905357E7 382.57
 -3.129293591767522E8 0.022550891214099696 2.582835708495266E7 382.57

 -3.1408314803135663E8 0.022851883705549837 168630.0552440359 389.18425
 -3.1401801436924434E8 0.02283263684727968 3020087.0497196284 389.18425
 -3.1395293522725695E8 0.022813642518241625 5871544.044195221 389.18425
 -3.138879098937729E8 0.02279489482281398 8723001.038670814 389.18425
 -3.138229376736908E8 0.022776388068017687 1.1574458033146406E7 389.18425
 -3.1375801788786453E8 0.022758116754261117 1.4425915027621998E7 389.18425
 -3.1369314987256473E8 0.022740075566630352 1.727737202209759E7 389.18425
 -3.1362833297896355E8 0.022722259366667684 2.0128829016573183E7 389.18425
 -3.135635665726432E8 0.022704663184606004 2.2980286011048775E7 389.18425
 -3.1349885003312504E8 0.022687282212028117 2.5831743005524367E7 389.18425

 -3.146647952506501E8 0.0230055310397544 209155.57404085464 395.79850000000005
 -3.1459931875118375E8 0.022984821850213864 3056560.016636765 395.79850000000005
 -3.1453390081391805E8 0.02296439612215181 5903964.459232675 395.79850000000005
 -3.1446854064163893E8 0.02294424693349017 8751368.901828585 395.79850000000005
 -3.144032374564852E8 0.022924367611101643 1.1598773344424495E7 395.79850000000005
 -3.143379904992562E8 0.02290475171895173 1.4446177787020406E7 395.79850000000005
 -3.142727990287532E8 0.022885393046932077 1.7293582229616318E7 395.79850000000005
 -3.1420766232115114E8 0.022866285600348094 2.014098667221223E7 395.79850000000005
