 temperature expPressure calcPressure
 263.15 205.90559305981742 222.79775296059077
 269.5523333333333 348.9985729782573 371.8443925032955
 275.95466666666664 574.6207440372377 604.1088211503668
 282.35699999999997 921.0285325058956 957.2076339116105
 288.7593333333333 1439.9443135988283 1481.8090268418393
 295.16166666666663 2199.7329196773235 2244.7319509384706
 301.56399999999996 3288.887382252035 3332.378475449039
 307.9663333333333 4819.76087987294 4854.448638593713
 314.3686666666666 6932.467785653395 6947.872135522884
 320.77099999999996 9798.866741335012 9780.879404029387
 327.1733333333333 13626.533416053227 13557.126811072223
 333.5756666666666 18662.630224423894 18519.787168395847
 339.97799999999995 25197.584594653348 24955.5178014854
 346.3803333333333 33568.495893972104 33198.223606781066
 352.7826666666666 44162.203102176405 43632.54140962359
 359.18499999999995 57417.95989364994 56696.98371604144
 365.5873333333333 73829.68000095856 72886.69374364032
 371.9896666666666 93947.73265950778 92755.7784901583
 378.39199999999994 118380.28471774078 116919.20166336567
 384.79433333333327 147794.20190430374 146054.2327682956
 391.1966666666666 182915.5361820969 180901.46189105647
 397.59899999999993 224529.63865593908 222265.40126720915
 404.00133333333326 273480.9478596812 271014.7042865244
 410.4036666666666 330672.51129895536 328082.0400368601
 416.806 397065.3038637586 394463.66684089997
 423.2083333333333 473677.4102527962 471218.751614297
 429.61066666666665 561583.1400513287 559468.4834773041
 436.013 661912.1438177295 660395.0301574622
 442.4153333333333 775848.5967366198 775240.384432967
 448.81766666666664 904630.5133831269 905305.146203579
 455.21999999999997 1049549.253205795 1051947.2822059533
 461.6223333333333 1211949.2717585338 1216580.9029710467
 468.02466666666663 1393228.1677546136 1400675.0926517004
 474.42699999999996 1594837.0709116028 1605752.8240032555
 480.8293333333333 1818281.410507077 1833389.9873480385
 487.2316666666666 2065122.0997397408 2085214.558855425
 493.63399999999996 2336977.166526592 2362905.9323014426
 500.0363333333333 2635523.857368289 2668194.4309395673
 506.4386666666666 2962501.237462492 3002861.0215199445
 512.8409999999999 3319713.307385784 3368737.243584957
 519.2433333333333 3709032.6544374675 3767705.369720055
 525.6456666666666 4132404.6551480293 4201698.810204343
 532.048 4591852.244507583 4672702.775076804
 538.4503333333332 5089481.267146211 5182755.206439691
 544.8526666666667 5627486.425986275 5733947.994020833
 551.2549999999999 6208157.844750147 6328428.4876034735
 557.6573333333333 6833888.262135141 6968401.323799154
 564.0596666666665 7507180.877405631 7656130.56572322
 570.462 8230657.869603254 8393942.216661641
 576.8643333333333 9007069.615485525 9184227.070136426
 583.2666666666667 9839304.634666922 1.0029443961584937E7
 589.669 1.073040029423208E7 1.0932123430360103E7
 596.0713333333333 1.168355430929871E7 1.1894871824035715E7
 602.4736666666666 1.2702137080623223E7 1.2920375878414504E7
 608.876 1.378970491537605E7 1.4011407811482584E7
 615.2783333333333 1.495001418262996E7 1.5170830975144977E7
 621.6806666666666 1.6187036460979233E7 1.6401606115029214E7
 628.083 1.7504974741965346E7 1.7706798296098083E7
 634.4853333333333 1.8908280759747718E7 1.9089584560478125E7
 640.8876666666666 2.0401673524664633E7 2.0553262394498866E7
