 x1 yExp expTemp calcTemp yCalc
 0.0 0.0 373.15 374.4030883134483 0.0
 0.00584 0.045705 372.4 367.30872470373197 0.23436766170208276
 0.012 0.114 370.05 361.4115258948337 0.393112968359695
 0.026 0.157 368.85 352.4109660688892 0.5828412905997417
 0.05 0.293 365.35 344.85664413014325 0.7022317224482277
 0.0738 0.3665 363.3 341.74001398291216 0.7430124917593651
 0.102 0.43 360.65 340.35460197256145 0.75994914932644
 0.1176 0.4855 359.65 340.1034301312843 0.7629918132590299
 0.14 0.514 357.95 340.06407264100517 0.7634692569522626
 0.15 0.522 357.45 340.1196043744159 0.762768752446289
 0.175 0.56 356.05 340.35938166697764 0.759645255589087
 0.2 0.59 354.65 340.6594128420856 0.7555384229898064
 0.3 0.675 351.15 341.6170984170428 0.74056001640809
 0.4 0.735 348.55 341.81234929632365 0.7368878939210441
 0.473 0.765 346.85 341.58101092745864 0.7429185190066319
 0.526 0.794 345.75 341.28899259534245 0.7518556594377195
 0.54 0.801 345.55 341.19996002108076 0.7548439856408746
 0.565 0.805 345.15 341.0318411555335 0.7608246968794208
 0.585 0.816 344.65 340.89062123979454 0.766200359929167
 0.6 0.831 344.55 340.7817185373059 0.7705751488752748
 0.662 0.857 343.75 340.3164816921946 0.7917637695344613
 0.675 0.865 343.05 340.217873821194 0.7968407522893021
 0.7 0.874 342.75 340.02914460026733 0.8072247203098524
 0.714 0.878 342.25 339.92448252034717 0.8133980110234439
 0.8 0.918 340.95 339.3143249799123 0.8570640137213094
 0.85 0.93 340.05 338.99857902492056 0.8871385625464457
 0.8808 0.9417 339.65 338.82275780814456 0.9074598532703017
 0.89 0.956 339.35 338.77329526676033 0.913803465300239
 0.9 0.961 339.25 338.7212028444274 0.920844078981085
 0.92 0.965 338.85 338.6224173530827 0.9353865711085592
 0.95 0.981 338.55 338.4883736094102 0.9583819982236534
 0.9657 0.9569 338.1 338.42529698543456 0.9709975971517915
 0.9871 0.9778 337.85 338.34747448280484 0.9888563737963344
 1.0 1.0 337.75 338.3052352218077 1.0
