 temperature expPressure calcPressure
 175.47 0.033850951867379804 0.031727677210340144
 181.0895 0.09983895186793462 0.09807295006436721
 186.709 0.2726890111360088 0.27090428346926015
 192.3285 0.6947178243126662 0.6744248513361534
 197.948 1.661464175122112 1.5831367196829007
 203.5675 3.751189969608399 3.52126886508879
 209.187 8.035718778929127 7.455118677840985
 214.8065 16.406067160131986 15.085344633942185
 220.426 32.05160849809825 29.281032034179795
 226.0455 60.134436443325264 54.697872718696246
 231.665 108.70019734416903 98.62508887663763
 237.28449999999998 189.86230955057113 172.104509221855
 242.904 321.2880332364735 291.3599400089855
 248.5235 528.0026847181457 479.56546691385324
 254.14299999999997 844.5132900425788 768.9678979238565
 259.7625 1317.2364094817644 1203.3620324264498
 265.382 2007.1982098884428 1840.8990639829362
 271.00149999999996 2992.9596024845646 2757.1897266590004
 276.621 4373.706722119445 4048.6464131842627
 282.2405 6272.438219098017 5835.9939680091475
 287.86 8839.176395613555 8267.868450920118
 293.4795 12254.129357231788 11524.41771875561
 299.099 16730.73588325158 15820.817526322091
 304.71849999999995 22518.53313478383 21410.621836712886
 310.33799999999997 29905.798860126517 28588.875537591775
 315.9575 39221.93352320527 37694.93082084459
 321.577 50839.562823304164 49114.92392888946
 327.1965 65176.35647804747 63283.885570386716
 332.816 82696.57409080546 80687.47489818234
 338.4355 103912.36274601793 101863.34252994473
 344.05499999999995 129384.84316669255 127402.14191819505
 349.67449999999997 159725.03149644186 157948.21994706054
 355.294 195594.65186858058 194200.02666221152
 360.9135 237706.9008783634 236910.2906888449
 366.533 286827.2289850762 286886.0108567327
 372.1525 343774.20593566546 344988.31681849546
 377.772 409420.5377843559 412132.25184673804
 383.39149999999995 484694.30228627287 489286.5296439679
 389.01099999999997 570580.4676872523 577473.315626865
 394.6305 668122.7575358758 677768.0801915294
 400.25 778425.9214086519 791299.5689408858
 405.8695 902658.4686431908 919249.9320594555
 411.489 1042055.9195600091 1062855.0525514868
 417.10849999999994 1197924.6264321706 1223405.1110183294
 422.72799999999995 1371646.2148071516 1402245.4231955456
 428.34749999999997 1564682.694836842 1600777.5857161775
 433.967 1778582.2921427682 1820460.9656115586
 439.5865 2014986.0485163766 2062814.5699896982
 445.206 2275635.244495501 2329419.334227759
 450.8254999999999 2562379.698613356 2621920.8699686853
 456.44499999999994 2877187.00192382 2942032.718329283
 462.06449999999995 3222152.7512958855 3291540.159137643
 467.68399999999997 3599511.8509700825 3672304.6338878665
 473.3035 4011650.9590085247 4086268.8486412787
 478.923 4461122.163586627 4535462.633586296
 484.5425 4950657.983607795 5022009.648742452
 490.1619999999999 5483187.798935112 5548135.040801452
 495.78149999999994 6061855.827685304 6116174.174910062
 501.40099999999995 6690040.781617106 6728582.617759172
 507.02049999999997 7371377.345764076 7387947.3690782515
