 temperature expPressure calcPressure
 175.47 0.033850951867379804 -0.02187232330607647
 181.0895 0.09983895186793462 0.07811032068941774
 186.709 0.2726890111360088 0.2714134832200404
 192.3285 0.6947178243126662 0.6743107536633168
 197.948 1.661464175122112 1.5829136766001053
 203.5675 3.751189969608399 3.5208219195493204
 209.187 8.035718778929127 7.4542539138860295
 214.8065 16.406067160131986 15.083750664220002
 220.426 32.05160849809825 29.278217308647942
 226.0455 60.134436443325264 54.693095993239446
 231.665 108.70019734416903 98.61727695527047
 237.28449999999998 189.86230955057113 172.0921673001847
 242.904 321.2880332364735 291.3410622741788
 248.5235 528.0026847181457 479.53745803101907
 254.14299999999997 844.5132900425788 768.9275187328661
 259.7625 1317.2364094817644 1203.3053850964957
 265.382 2007.1982098884428 1840.821632667845
 271.00149999999996 2992.9596024845646 2757.086489100242
 276.621 4373.706722119445 4048.512036598904
 282.2405 6272.438219098017 5835.823099020191
 287.86 8839.176395613555 8267.656104441065
 293.4795 12254.129357231788 11524.159764968905
 299.099 16730.73588325158 15820.5112686229
 304.71849999999995 22518.53313478383 21410.266667193777
 310.33799999999997 29905.798860126517 28588.473650766093
 315.9575 39221.93352320527 37694.4879612329
 321.577 50839.562823304164 49114.45014410163
 327.1965 65176.35647804747 63283.39593859098
 332.816 82696.57409080546 80686.9901973942
 338.4355 103912.36274601793 101862.88981634601
 344.05499999999995 129384.84316669255 127401.75498153915
 349.67449999999997 159725.03149644186 157947.93961293995
 355.294 195594.65186858058 194199.90091330744
 360.9135 237706.9008783634 236910.37458003146
 366.533 286827.2289850762 286886.36620178586
 372.1525 343774.20593566546 344989.0116289977
 377.772 409420.5377843559 412133.35950645054
 383.39149999999995 484694.30228627287 489288.12780412426
 389.01099999999997 570580.4676872523 577475.4848097683
 394.6305 668122.7575358758 677770.9020910758
 400.25 778425.9214086519 791303.1244094275
 405.8695 902658.4686431908 919254.2987705834
 411.489 1042055.9195600091 1062860.3023278357
 417.10849999999994 1197924.6264321706 1223411.30681258
 422.72799999999995 1371646.2148071516 1402252.6157110569
 428.34749999999997 1564682.694836842 1600785.8096514996
 433.967 1778582.2921427682 1820470.2355101432
 439.5865 2014986.0485163766 2062824.8756725984
 445.206 2275635.244495501 2329430.6357827303
 450.8254999999999 2562379.698613356 2621933.092264122
 456.44499999999994 2877187.00192382 2942045.745015307
 462.06449999999995 3222152.7512958855 3291553.826089699
 467.68399999999997 3599511.8509700825 3672318.7220399133
 473.3035 4011650.9590085247 4086283.0761459973
 478.923 4461122.163586627 4535476.64722839
 484.5425 4950657.983607795 5022023.014517567
 490.1619999999999 5483187.798935112 5548147.233557528
 495.78149999999994 6061855.827685304 6116184.566928588
 501.40099999999995 6690040.781617106 6728590.466145551
 507.02049999999997 7371377.345764076 7387951.801725126
